id,nombre,categoria,precio,stock,created_at,updated_at,is_deleted
1,Laptop Pro 15,Electronica,225.53,0,2024-12-07T09:01:00,2025-01-08T12:01:00,true
2,Laptop Ultrabook 13,Electronica,390.46,0,2024-10-20T09:37:00,2024-10-20T09:37:00,true
3,Tablet 10 pulgadas,Electronica,853.81,112,2024-09-29T08:35:00,2024-09-29T08:35:00,false
4,Smartphone X12,Electronica,563.15,79,2024-08-31T12:51:00,2024-12-07T14:51:00,false
5,Smartwatch Serie 3,Electronica,1283.43,0,2024-05-04T13:06:00,2024-05-04T13:06:00,true
6,Smart TV 50 pulgadas,Electronica,257.24,472,2024-11-19T12:51:00,2024-11-19T12:51:00,false
7,Smart TV 43 pulgadas,Electronica,1337.33,185,2024-07-26T09:35:00,2024-07-26T09:35:00,false
8,Monitor 24 FHD,Electronica,1177.75,40,2024-11-05T11:45:00,2024-11-05T11:45:00,false
9,Monitor 27 QHD,Electronica,598.05,189,2024-05-13T09:24:00,2024-05-13T09:24:00,false
10,Proyector HD,Electronica,1000.2,311,2024-07-14T11:42:00,2024-07-14T11:42:00,false
11,Camara Digital,Electronica,1485.11,327,2024-12-05T10:34:00,2024-12-26T17:34:00,false
12,Camara de Accion,Electronica,125.57,161,2025-01-01T16:14:00,2025-04-19T16:14:00,false
13,Drone Mini,Electronica,1324.43,161,2024-08-07T12:04:00,2024-08-07T12:04:00,false
14,Consola Gaming,Electronica,278.27,0,2024-05-02T15:25:00,2024-07-24T22:25:00,true
15,Controlador Gaming,Electronica,1496.19,70,2024-10-28T16:16:00,2024-12-22T22:16:00,false
16,Servidor Rack 1U,Electronica,307.16,348,2024-10-01T15:05:00,2025-01-20T16:05:00,false
17,NAS 4 Bahias,Electronica,831.33,497,2024-08-18T09:24:00,2024-08-18T09:24:00,false
18,UPS 1500VA,Electronica,1171.4,174,2024-10-24T08:43:00,2025-01-20T16:43:00,false
19,Lector Codigo Barras,Electronica,1105.36,0,2024-03-12T12:27:00,2024-03-12T12:27:00,true
20,Scanner de Documentos,Electronica,1316.13,152,2024-05-28T16:48:00,2024-05-28T16:48:00,false
21,Teclado Mecanico RGB,Perifericos,40.68,488,2024-12-07T16:38:00,2024-12-07T16:38:00,false
22,Teclado Inalambrico,Perifericos,186.52,0,2024-10-12T08:38:00,2024-10-12T08:38:00,true
23,Mouse Ergonomico,Perifericos,24.95,374,2024-06-20T11:03:00,2024-06-20T11:03:00,false
24,Mouse Gaming,Perifericos,135.34,0,2024-09-19T09:48:00,2024-09-19T09:48:00,true
25,Touchpad Externo,Perifericos,193.22,475,2024-10-22T10:16:00,2024-10-22T10:16:00,false
26,Webcam 4K,Perifericos,133.47,224,2024-10-17T11:45:00,2024-10-17T11:45:00,false
27,Webcam HD 1080p,Perifericos,13.99,0,2024-10-05T15:07:00,2024-10-05T15:07:00,true
28,Joystick Pro,Perifericos,129.9,0,2024-10-24T11:37:00,2024-10-24T11:37:00,true
29,Stylus Pen,Perifericos,107.68,142,2024-05-11T09:57:00,2024-05-11T09:57:00,false
30,Tableta Grafica,Perifericos,177.64,295,2024-12-22T15:13:00,2024-12-22T15:13:00,false
31,Numpad Externo,Perifericos,27.91,337,2024-09-13T11:50:00,2024-09-13T11:50:00,false
32,Lector de Huella,Perifericos,20.28,334,2024-08-22T13:27:00,2024-08-22T13:27:00,false
33,Microfono USB,Perifericos,173.71,127,2024-12-10T09:03:00,2024-12-10T09:03:00,false
34,Auriculares 7.1,Perifericos,62.91,127,2024-04-22T11:34:00,2024-04-22T11:34:00,false
35,Auriculares Bluetooth,Perifericos,199.85,0,2024-02-22T15:51:00,2024-05-03T16:51:00,true
36,Bocinas 2.1,Perifericos,101.45,442,2024-01-22T09:59:00,2024-02-22T11:59:00,false
37,Bocina Portatil,Perifericos,60.38,401,2024-08-07T08:10:00,2024-08-07T08:10:00,false
38,Auriculares In-Ear,Perifericos,102.46,97,2024-09-03T12:27:00,2024-12-06T20:27:00,false
39,Headset Gaming,Perifericos,152.11,29,2024-06-14T11:03:00,2024-06-14T11:03:00,false
40,Pad Mouse XL,Perifericos,106.48,0,2024-02-09T15:32:00,2024-04-17T17:32:00,true
41,Cable USB-C 1m,Cables,22.27,482,2024-04-19T09:38:00,2024-04-19T09:38:00,false
42,Cable USB-C 2m,Cables,22.99,298,2024-11-01T11:37:00,2024-11-01T11:37:00,false
43,Cable HDMI 2.0 1.8m,Cables,21.9,343,2024-10-30T16:20:00,2024-11-26T21:20:00,false
44,Cable HDMI 4K 3m,Cables,6.87,234,2024-12-10T12:29:00,2024-12-10T12:29:00,false
45,Cable DisplayPort 2m,Cables,9.66,178,2024-11-28T09:04:00,2024-11-28T09:04:00,false
46,Cable Ethernet Cat6 3m,Cables,28.75,154,2024-02-19T11:23:00,2024-02-19T11:23:00,false
47,Cable Ethernet Cat6 5m,Cables,8.32,449,2024-11-23T16:00:00,2025-02-02T20:00:00,false
48,Cable Ethernet Cat7 10m,Cables,16.6,107,2024-03-23T12:07:00,2024-06-27T20:07:00,false
49,Cable AUX 3.5mm,Cables,45.59,433,2024-07-08T11:43:00,2024-08-11T19:43:00,false
50,Cable VGA 1.8m,Cables,3.66,394,2024-02-10T09:40:00,2024-02-10T09:40:00,false
51,Adaptador USB-C a HDMI,Cables,8.7,483,2024-03-21T12:10:00,2024-05-31T18:10:00,false
52,Adaptador USB-C a VGA,Cables,29.19,220,2025-01-02T10:34:00,2025-01-02T10:34:00,false
53,Adaptador USB-C a USB-A,Cables,48.7,20,2024-03-20T08:19:00,2024-03-20T08:19:00,false
54,Adaptador HDMI a VGA,Cables,39.77,0,2024-07-16T11:43:00,2024-07-16T11:43:00,true
55,Alargador USB 3.0 1m,Cables,41.19,451,2024-08-10T10:59:00,2024-11-29T12:59:00,false
56,Cable Thunderbolt 3,Cables,43.67,415,2024-08-13T08:11:00,2024-09-25T14:11:00,false
57,Cable Coaxial 10m,Cables,43.42,113,2024-05-21T12:10:00,2024-06-04T18:10:00,false
58,Cable DVI 1.8m,Cables,14.08,12,2024-04-26T15:22:00,2024-04-26T15:22:00,false
59,Cable SPDIF Optico,Cables,48.45,142,2024-12-17T11:25:00,2024-12-17T11:25:00,false
60,Cable Micro-USB 1m,Cables,4.78,449,2024-07-12T16:25:00,2024-10-29T00:25:00,false
61,Funda Laptop 15 pulgadas,Accesorios,41.93,0,2024-05-27T10:37:00,2024-06-30T10:37:00,true
62,Funda Laptop 13 pulgadas,Accesorios,21.15,22,2024-06-23T14:38:00,2024-07-08T20:38:00,false
63,Mochila Tech 15 pulgadas,Accesorios,63.38,481,2025-01-11T14:00:00,2025-01-11T14:00:00,false
64,Maletin Ejecutivo,Accesorios,83.26,319,2024-12-23T11:23:00,2024-12-23T11:23:00,false
65,Soporte Laptop,Accesorios,32.72,356,2024-06-23T09:46:00,2024-08-27T13:46:00,false
66,Soporte Monitor,Accesorios,37.22,383,2024-06-14T16:08:00,2024-06-14T16:08:00,false
67,Hub USB 4 puertos,Accesorios,29.38,0,2024-04-13T12:25:00,2024-04-13T12:25:00,true
68,Hub USB 7 puertos,Accesorios,48.44,406,2024-08-22T13:29:00,2024-08-22T13:29:00,false
69,Lector Tarjeta SD,Accesorios,33.49,419,2024-04-10T09:18:00,2024-04-10T09:18:00,false
70,Filtro Privacidad 24 pulgadas,Accesorios,88.62,0,2024-05-14T12:14:00,2024-06-02T12:14:00,true
71,Filtro Pantalla 27 pulgadas,Accesorios,21.53,356,2024-11-22T09:29:00,2024-11-22T09:29:00,false
72,Base Refrigerante Laptop,Accesorios,5.47,384,2024-07-29T15:25:00,2024-07-29T15:25:00,false
73,Limpiador Pantallas,Accesorios,49.02,25,2024-03-09T14:14:00,2024-03-09T14:14:00,false
74,Wrist Rest Gel,Accesorios,61.74,286,2024-10-26T11:58:00,2024-12-24T13:58:00,false
75,Alfombrilla XL,Accesorios,82.07,228,2024-11-14T13:48:00,2025-02-01T21:48:00,false
76,Candado Kensington,Accesorios,59.19,392,2024-04-05T15:28:00,2024-04-05T15:28:00,false
77,Candado USB,Accesorios,65.64,120,2024-10-07T15:40:00,2024-10-07T15:40:00,false
78,Elevador Monitor Portatil,Accesorios,37.55,78,2024-06-02T13:20:00,2024-06-13T15:20:00,false
79,Porta Cables Escritorio,Accesorios,44.6,31,2025-01-10T11:04:00,2025-01-10T11:04:00,false
80,Organizador Cables Velcro,Accesorios,70.07,194,2024-04-29T14:24:00,2024-07-13T14:24:00,false
81,Router WiFi 6,Redes,804.63,427,2024-09-15T08:22:00,2024-09-15T08:22:00,false
82,Router Dual Band,Redes,260.17,248,2024-08-16T16:47:00,2024-11-27T19:47:00,false
83,Switch 8P Gigabit,Redes,759.63,470,2024-01-29T14:21:00,2024-05-11T20:21:00,false
84,Switch 16P Gigabit,Redes,397.17,0,2024-03-20T16:01:00,2024-06-04T16:01:00,true
85,Switch 24P Managed,Redes,420.13,172,2024-09-07T10:03:00,2024-09-07T10:03:00,false
86,Access Point Exterior,Redes,433.86,383,2024-07-27T12:48:00,2024-09-19T16:48:00,false
87,Access Point Interior,Redes,862.4,0,2024-10-17T08:22:00,2024-10-17T08:22:00,true
88,Repetidor WiFi,Redes,154.09,0,2024-02-04T08:15:00,2024-02-04T08:15:00,true
89,PLC Powerline 1200,Redes,429.22,131,2024-03-19T15:42:00,2024-03-19T15:42:00,false
90,Firewall UTM,Redes,164.1,159,2024-07-21T10:38:00,2024-10-25T11:38:00,false
91,Tarjeta Red 2.5Gb,Redes,863.18,203,2024-03-10T08:59:00,2024-03-10T08:59:00,false
92,Tarjeta WiFi PCIe,Redes,699.77,0,2024-04-25T09:37:00,2024-07-15T12:37:00,true
93,Adaptador WiFi USB,Redes,396.96,189,2024-12-30T09:50:00,2025-04-10T09:50:00,false
94,Modulo SFP 1Gb,Redes,743.64,54,2024-02-19T16:41:00,2024-02-19T16:41:00,false
95,Patch Panel 24P,Redes,665.73,494,2024-08-23T13:40:00,2024-10-21T15:40:00,false
96,Rack 12U,Redes,746.64,303,2024-12-13T12:39:00,2025-02-20T19:39:00,false
97,Cable Manager 1U,Redes,265.45,230,2024-05-31T13:54:00,2024-05-31T13:54:00,false
98,Bandeja Rack,Redes,768.83,0,2024-05-18T15:36:00,2024-07-06T20:36:00,true
99,PDU Rack 8 tomas,Redes,266.09,305,2024-04-17T15:13:00,2024-04-17T15:13:00,false
100,KVM 4 puertos,Redes,95.33,368,2025-01-08T12:35:00,2025-01-08T12:35:00,false
101,Escritorio Gaming,Mobiliario,418.11,405,2024-08-10T15:35:00,2024-11-07T22:35:00,false
102,Escritorio Ajustable,Mobiliario,279.64,297,2024-01-23T09:18:00,2024-01-23T09:18:00,false
103,Silla Ergonomica Pro,Mobiliario,609.44,169,2024-07-21T15:35:00,2024-07-21T15:35:00,false
104,Silla Gamer,Mobiliario,590.95,161,2024-07-13T15:17:00,2024-07-13T15:17:00,false
105,Reposapies,Mobiliario,257.36,301,2024-03-16T16:48:00,2024-04-10T19:48:00,false
106,Soporte Teclado,Mobiliario,276.69,362,2024-10-09T12:06:00,2024-11-16T15:06:00,false
107,Soporte CPU,Mobiliario,269.09,0,2024-10-14T10:17:00,2024-10-14T10:17:00,true
108,Soporte Monitor Doble,Mobiliario,380.34,94,2024-03-19T15:06:00,2024-06-01T19:06:00,false
109,Brazo Monitor Articulado,Mobiliario,350.52,37,2024-02-10T12:55:00,2024-02-10T12:55:00,false
110,Brazo Monitor Doble,Mobiliario,277.87,127,2024-11-05T08:09:00,2024-11-05T08:09:00,false
111,Gabinete Torre,Mobiliario,513.8,397,2024-03-15T16:48:00,2024-03-15T16:48:00,false
112,Gabinete Mini-ITX,Mobiliario,515.76,312,2024-10-08T14:28:00,2024-11-16T20:28:00,false
113,Organizador Escritorio,Mobiliario,167.78,88,2024-03-05T11:40:00,2024-03-05T11:40:00,false
114,Archivero Movil,Mobiliario,495.35,149,2024-10-23T09:10:00,2024-10-23T09:10:00,false
115,Mesa Auxiliar,Mobiliario,225.06,0,2024-01-31T11:18:00,2024-04-30T18:18:00,true
116,Carro Impresora,Mobiliario,161.73,136,2024-05-29T11:27:00,2024-05-29T11:27:00,false
117,Mesa Centro de Datos,Mobiliario,611.71,291,2024-03-27T09:03:00,2024-03-27T09:03:00,false
118,Carro AV,Mobiliario,351.87,139,2024-06-10T15:07:00,2024-06-10T15:07:00,false
119,Mueble Rack,Mobiliario,717.06,376,2024-09-27T16:31:00,2024-09-27T16:31:00,false
120,Pizarron Blanco,Mobiliario,676.96,294,2024-06-28T12:01:00,2024-06-28T12:01:00,false
121,Licencia Windows 11 Pro,Software,99.96,265,2024-11-10T08:48:00,2024-12-15T08:48:00,false
122,Licencia Office 365 Anual,Software,226.39,416,2024-12-13T15:58:00,2024-12-13T15:58:00,false
123,Antivirus 1 PC,Software,340.0,439,2024-09-22T09:30:00,2024-09-22T09:30:00,false
124,Antivirus 5 PCs,Software,281.79,232,2024-04-06T13:26:00,2024-05-13T19:26:00,false
125,Suite Diseno Grafico,Software,211.01,263,2024-02-29T13:16:00,2024-02-29T13:16:00,false
126,Suite Edicion Video,Software,190.45,387,2024-01-15T16:29:00,2024-01-15T16:29:00,false
127,Software Contabilidad,Software,78.53,147,2024-09-26T15:48:00,2024-09-26T15:48:00,false
128,Software RRHH,Software,402.66,363,2024-08-26T15:07:00,2024-08-26T15:07:00,false
129,Licencia VPN 1 anio,Software,123.97,430,2024-04-05T12:35:00,2024-04-05T12:35:00,false
130,Backup Cloud 1TB,Software,156.54,361,2024-03-13T15:07:00,2024-04-02T22:07:00,false
131,Gestor Contrasenas,Software,236.53,74,2024-06-02T14:53:00,2024-06-02T14:53:00,false
132,Software CAD,Software,81.2,35,2024-07-29T11:58:00,2024-07-29T11:58:00,false
133,Licencia ERP Stock,Software,152.17,152,2024-06-04T14:21:00,2024-08-08T18:21:00,false
134,Licencia CRM,Software,182.38,282,2024-11-10T15:55:00,2024-11-10T15:55:00,false
135,Plataforma BI,Software,130.81,196,2024-10-19T14:29:00,2025-02-08T17:29:00,false
136,Antivirus Server,Software,458.0,195,2024-05-13T14:02:00,2024-05-13T14:02:00,false
137,Licencia Virtualizacion,Software,176.01,51,2024-07-30T10:31:00,2024-08-16T18:31:00,false
138,Software Monitoreo Red,Software,332.56,79,2024-08-27T09:33:00,2024-08-29T11:33:00,false
139,Gestor Proyectos,Software,428.1,436,2024-02-22T15:50:00,2024-04-06T21:50:00,false
140,Suite Colaboracion,Software,32.4,35,2024-12-25T16:24:00,2025-03-16T23:24:00,false
141,Impresora Laser BN,Impresion,494.19,51,2024-05-14T12:14:00,2024-07-09T13:14:00,false
142,Impresora Laser Color,Impresion,230.43,0,2024-08-29T10:44:00,2024-08-29T10:44:00,true
143,Impresora Inkjet Foto,Impresion,374.15,0,2024-02-12T12:22:00,2024-02-12T12:22:00,true
144,Impresora Multifuncion,Impresion,270.86,349,2024-10-30T10:10:00,2024-10-30T10:10:00,false
145,Impresora Termica Tickets,Impresion,448.33,235,2024-05-17T15:58:00,2024-05-17T15:58:00,false
146,Impresora Etiquetas,Impresion,114.78,226,2024-05-24T08:57:00,2024-09-17T12:57:00,false
147,Plotter 24 pulgadas,Impresion,214.96,196,2024-07-09T12:40:00,2024-10-06T16:40:00,false
148,Cartucho Tinta Negro,Impresion,210.62,358,2024-09-18T09:15:00,2024-09-18T09:15:00,false
149,Cartucho Tinta Color,Impresion,481.62,381,2024-06-14T08:53:00,2024-07-20T08:53:00,false
150,Toner Negro,Impresion,249.85,325,2024-02-09T15:53:00,2024-03-17T18:53:00,false
151,Toner Color Cyan,Impresion,632.86,330,2024-04-21T12:43:00,2024-07-29T14:43:00,false
152,Toner Color Magenta,Impresion,513.98,46,2024-02-04T12:50:00,2024-02-04T12:50:00,false
153,Toner Color Amarillo,Impresion,551.62,448,2024-06-14T13:47:00,2024-06-14T13:47:00,false
154,Papel A4 500 Hojas,Impresion,578.15,246,2024-07-20T16:32:00,2024-11-04T18:32:00,false
155,Papel Foto Glossy,Impresion,102.82,494,2024-06-14T13:51:00,2024-06-14T13:51:00,false
156,Etiquetas Adhesivas A4,Impresion,14.66,274,2024-05-09T14:54:00,2024-06-25T15:54:00,false
157,Rollo Termico 80mm,Impresion,576.57,481,2024-03-18T15:23:00,2024-06-13T19:23:00,false
158,Drum Unit,Impresion,619.53,0,2024-07-23T09:43:00,2024-07-23T09:43:00,true
159,Kit Mantenimiento Impresora,Impresion,327.66,358,2024-10-28T13:58:00,2025-01-19T14:58:00,false
160,Impresora 3D FDM,Impresion,216.52,252,2024-06-17T14:07:00,2024-06-17T14:07:00,false
161,Interfaz Audio USB,Audio,237.96,380,2024-03-14T09:15:00,2024-04-01T15:15:00,false
162,Mezcladora 4 Canales,Audio,311.03,335,2025-01-05T16:26:00,2025-01-05T16:26:00,false
163,Microfono Condensador,Audio,21.11,189,2024-03-05T15:39:00,2024-03-05T15:39:00,false
164,Microfono Dinamico,Audio,243.12,0,2024-05-05T15:28:00,2024-08-23T20:28:00,true
165,Soporte Microfono Mesa,Audio,51.52,434,2024-10-19T13:03:00,2024-10-19T13:03:00,false
166,Pie de Microfono,Audio,340.16,25,2024-09-03T09:42:00,2024-09-03T09:42:00,false
167,Cable XLR 3m,Audio,198.42,300,2024-07-03T11:08:00,2024-07-30T12:08:00,false
168,Cable XLR 6m,Audio,344.56,66,2024-05-04T11:21:00,2024-08-13T11:21:00,false
169,Monitor Estudio 5 pulgadas,Audio,18.76,7,2024-10-17T12:51:00,2024-10-17T12:51:00,false
170,Monitor Estudio 8 pulgadas,Audio,27.81,379,2024-07-16T11:37:00,2024-07-16T11:37:00,false
171,Amplificador Auriculares,Audio,184.49,55,2024-08-17T16:07:00,2024-10-17T23:07:00,false
172,DAC USB,Audio,228.73,15,2024-09-02T16:14:00,2024-09-09T00:14:00,false
173,Grabadora Digital,Audio,176.68,465,2024-02-15T15:54:00,2024-02-15T15:54:00,false
174,Tarjeta Sonido 7.1,Audio,32.32,140,2024-08-29T09:57:00,2024-08-29T09:57:00,false
175,Altavoz Bluetooth 20W,Audio,190.38,232,2024-11-29T16:45:00,2024-11-29T16:45:00,false
176,Soundbar 2.1,Audio,83.1,231,2024-09-29T14:06:00,2024-10-14T22:06:00,false
177,Sistema Sonido 5.1,Audio,116.26,160,2024-05-10T14:21:00,2024-07-01T20:21:00,false
178,Subwoofer Activo,Audio,292.79,0,2024-12-20T12:23:00,2025-03-18T19:23:00,true
179,Pop Filter,Audio,209.39,287,2024-03-02T14:06:00,2024-04-19T16:06:00,false
180,Pantalla Acustica,Audio,236.21,384,2024-10-28T13:42:00,2024-10-28T13:42:00,false
181,Camara IP 1080p,Video,151.25,336,2024-08-18T08:18:00,2024-10-03T09:18:00,false
182,Camara IP PTZ 4K,Video,239.5,390,2024-09-17T11:54:00,2024-09-17T11:54:00,false
183,NVR 8 Canales,Video,467.43,318,2024-06-05T11:51:00,2024-06-05T11:51:00,false
184,DVR 4 Canales,Video,185.75,0,2024-11-24T16:01:00,2025-02-17T20:01:00,true
185,Monitor Seguridad 19 pulgadas,Video,352.79,205,2024-06-21T13:22:00,2024-06-21T13:22:00,false
186,Disco Duro Vigilancia 2TB,Video,152.62,214,2024-02-19T10:47:00,2024-02-23T11:47:00,false
187,Disco Duro Vigilancia 4TB,Video,472.79,290,2024-09-03T13:10:00,2024-09-03T13:10:00,false
188,PoE Injector,Video,382.16,345,2024-11-15T09:56:00,2024-11-15T09:56:00,false
189,Switch PoE 8 puertos,Video,152.86,262,2024-02-25T12:28:00,2024-04-28T19:28:00,false
190,Carcasa Camara Exterior,Video,368.08,269,2024-03-13T13:27:00,2024-03-13T13:27:00,false
191,Soporte Camara Pared,Video,61.22,104,2024-12-21T12:02:00,2024-12-21T12:02:00,false
192,Cable Coaxial 50m,Video,217.02,3,2024-06-17T11:49:00,2024-06-17T11:49:00,false
193,Fuente Alimentacion CCTV,Video,161.15,286,2024-09-25T14:11:00,2024-09-25T14:11:00,false
194,Microfono Ambiente,Video,278.64,235,2024-12-22T13:04:00,2024-12-22T13:04:00,false
195,Sensor Movimiento PIR,Video,394.87,148,2024-02-23T13:36:00,2024-02-23T13:36:00,false
196,Sensor Puerta,Video,554.26,45,2024-03-13T14:01:00,2024-04-04T21:01:00,false
197,Panel Alarma,Video,74.82,445,2024-08-25T09:15:00,2024-08-25T09:15:00,false
198,Sirena Exterior,Video,320.97,58,2024-06-21T13:14:00,2024-06-21T13:14:00,false
199,Teclado Alarma,Video,496.79,417,2024-10-12T16:12:00,2024-11-26T21:12:00,false
200,Central Alarma,Video,373.36,389,2024-03-30T11:06:00,2024-03-30T11:06:00,false
